,Ua022,Ua023,Ua024,Ua036,Ua046,Ua052,Ua073,Ua130,Ua021,Ua034,Ua040,Ua043,Ua044,Ua045,Ua049,Ua050,Ua057,Ua062,Ua064,Ua067,Ua069,Ua072,Ua074,Ua077,Ua079,Ua083,Ua084,Ua088,Ua089,Ua090,Ua091,Ua095,Ua096,Ua097,Ua098,Ua104,Ua105,Ua106,Ua107,Ua112,Ua117,Ua119,Ua121,Ua125,Ua128,Ua129,Ua131,Ua133,Ua134,Ua136
,pre,pre,pre,pre,pre,pre,pre,pre,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post
585,0,0,283,0,17,157,725,0,0,0,14061,0,502,0,0,0,568,0,0,0,70,0,9,0,6153,0,29304,0,16146,229,116,582,308,4,286,0,611,31272,0,685,953,199,8691,1504,126,1027,781,13035,457,40
584,0,0,0,0,0,0,607,0,397,274,1032,0,514,0,369,0,437,0,0,0,45,0,5,0,1418,0,1731,0,2837,249,41,533,0,0,287,0,579,3451,0,509,55071,191,2005,6541,163,827,12730,3994,417,0
588,0,0,0,0,0,0,0,0,0,0,396,0,226,0,799,0,0,0,0,0,36,0,0,0,0,0,444,0,0,0,34,0,0,0,0,0,0,0,0,373,0,0,0,0,0,461,0,147,0,0
587,0,0,220,0,0,0,557,0,0,0,5843,0,511,0,1607,0,397,0,0,0,61,0,27,0,0,0,22484,0,2023,385,50,0,0,5,727,0,532,4714,0,615,873,275,0,3974,167,657,1098,31786,397,43
549,0,0,222,0,17,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,489,0,0,106,0,0,1074,842,387,928,129,8594,0,0,0,0,0,297,0
569,1385,1767,0,0,44,175,912,114,165,0,325,0,195,0,0,0,0,0,0,0,78,12467,8,17288,0,0,0,0,0,0,61,0,0,0,411,0,0,0,0,367,842,115,0,220,0,461,355,0,306,0
70863,751,0,0,0,0,0,0,73,0,0,0,0,0,0,2276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666,458,1097,900,2303,31,583,1618,12,158,736,1320,0,946,154,430,794,2625,495,84,0,131,0,0,7036,2450,738,1161,0,2417,688,87,1899,955,4,138,3584,2489,3023,3712,3463,2807,623,0,298,694,1760,1611,0,2751,133
676,0,0,0,0,0,161,0,0,0,0,0,0,280,0,0,0,483,0,0,0,46,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,350,0,131,0,0,0,428,333,0,360,0
644,3848,1175,841,2580,61,942,3353,18,262,1624,2964,1528,257,284,18346,803,2103,2939,363,130,565,0,106,1142729,2985,8997,4322,7,90282,12925,7214,2417,1206,10,135998,3909,2967,8905,4722,1198,5999,3701,90367,4011,625,1157,1524,24107,1687,168
654,1986,500,329,1017,37,349,660,10,119,420,232,0,216,70,7141,0,975,537,0,255,208,0,8,22642,1179,570,790,0,25518,19044,935,875,443,5,6388,0,848,2151,1583,530,1840,384,2256,237,227,390,714,455,667,68
648,654,0,0,0,0,0,0,0,0,679,0,0,0,0,41888,0,364,580,0,15,98,0,21,12861,0,465,0,6,7194,1647,6452,0,381,0,2470,0,0,0,806,0,0,207,1102,176,124,0,0,326,0,0
645,130692,422,275,1021,31,260,772,22,247,485,844,0,151,84,318229,460,778,2659,0,19,862,0,5,11110,1510,450,616,0,8410,7665,475,856,475,0,2683,0,1181,2106,1498,741,1400,262,655,0,255,0,497,196,729,116
651,429,0,0,0,0,179,1488,0,0,1471,0,0,0,0,8788,0,373,2070,0,23,134,0,9,5263,0,0,0,0,2252,3772,4821,0,0,0,372,0,0,0,0,0,0,119,0,0,0,0,0,92,0,0
196024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,0,0,0,0,0,0,0,2,9393,0,0,0,0,1831,442,113,0,0,0,1626,0,0,0,0,0,0,0,751,0,0,0,0,234,0,0
28450,3471,7276,4999,17202,1237,4969,8235,0,3485,5516,735,9605,4024,687,2250,973,10919,5509,516,48,1461,0,7,29589,15223,6161,13269,206,8127,2064,433,11024,5601,0,870,29289,24764,65353,28661,11855,39807,8060,687,4122,10230,18815,10425,4543,16246,1880
85698,1543,3516,3331,8935,308,2741,4658,16,1126,3015,299,3548,679,868,995,1238,5990,2173,196,86,57,1669,41,25220,12313,1962,5931,18,6245,995,64,9446,3546,0,306,58601,12711,34236,19049,5521,25489,2277,695,699,1644,1144,4130,1198,6232,644
72557,0,0,0,0,0,0,0,55,0,562,0,0,0,0,452,0,0,195,0,50,46,0,0,0,0,0,0,0,1694,248,0,0,1827,0,544,0,0,0,0,0,904,0,1042,346,0,0,0,0,0,0
485,584,2448,1211,4527,697,600,3736,11,591,2388,185,12681,4810,516,1647,4115,42196,1408,160,76,226,0,31,122700,24545,1360,2171,0,10104,1989,680,110765,3558,0,1859,17275,2065,13495,28639,4055,9374,813,0,1296,1238,8198,2621,727,4039,220
197,686,1238,1724,1476,0,456,2079,50,226,916,1063,0,311,0,0,335,1273,446,91,0,0,0,0,6178,2333,654,1400,0,0,857,49,1668,800,8,133,6237,3550,4474,1670,1328,8159,901,0,560,1077,744,1549,112,2926,362
195,0,0,222,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,5133,0,260,2869,0,0,0,146,418,0,0,0,0
529,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,2018,0,0,0,0,0,0,0,0,0,0,38640,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,0,710,364,0,0,172,379,0,166,0,197,0,0,0,0,764,0,185,0,9,0,0,0,0,0,752,0,0,0,0,0,646,0,17,0,0,0,0,0,301,0,186,0,0,128,0,644,0,0,59
28131,1475,7036,7894,14898,71,7681,5817,181,1302,1448,850,1580,220,724,600,16770,1128,1579,127,90,0,0,2,5231,5931,4274,527,0,1422,227,0,12311,688,44,452,6080,4431,12659,880,3030,3960,1138,0,453,655,929,6028,0,5689,653
817,1506,3014,6632,12547,70,2637,6042,120,831,2680,1550,1253,237,419,0,14971,758,1043,248,82,0,0,2,0,2621,3298,551,0,1782,155,0,10263,635,289,875,6365,3140,76953,0,2971,1449,1551,0,1612,667,916,5255,0,7248,736
821,0,957,1482,8136,0,1755,1934,90,397,605,570,0,0,218,0,10305,482,304,0,39,0,0,0,0,1117,782,0,0,0,0,0,6998,317,10,198,0,1521,2217,0,635,906,761,0,259,258,0,1542,0,2077,273
253,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,365,0,0,0,0,0,0,0,1440,0,1284,0,0,277,26,0,492,0,0,0,544,1776,1412,577,0,130,0,177,0,560,336,0,289,0
250,0,410,326,0,27,158,458,10,152,0,0,0,1295,49,0,0,722,0,0,0,0,0,0,0,2185,0,2435,0,0,259,30,494,617,0,157,2819,925,2606,2191,770,891,157,0,276,0,833,696,0,573,39
1018,0,700,398,625,31,228,738,0,130,0,0,0,261,66,0,0,941,0,0,14,0,0,0,0,845,0,521,0,0,178,0,556,520,0,0,2065,1524,5842,954,1138,1250,303,0,0,202,506,961,0,764,43
76832,0,0,214,0,18,0,0,0,83,0,784,0,159,0,0,0,385,0,0,0,0,19577,4,0,0,0,440,0,2903,0,0,0,0,0,0,0,545,23398,0,453,0,0,0,0,0,0,309,0,0,0
